"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Удаление бронирования","chromium","Tue May 06 16:28:13 GMT 2025","skipped","Tue May 06 16:28:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","4189","The Sign In button overlaps the footer","chromium","Tue May 06 16:29:01 GMT 2025","passed","Tue May 06 16:29:05 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","6208","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 16:29:26 GMT 2025","passed","Tue May 06 16:29:33 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","9443","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 16:29:50 GMT 2025","passed","Tue May 06 16:30:00 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","0","Создание бронирования","chromium","Tue May 06 16:28:13 GMT 2025","skipped","Tue May 06 16:28:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2404","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 16:28:59 GMT 2025","passed","Tue May 06 16:29:01 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","7766","The product image fills the box entirely","chromium","Tue May 06 16:28:14 GMT 2025","passed","Tue May 06 16:28:22 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","0","Обновление существующего бронирования","chromium","Tue May 06 16:28:13 GMT 2025","skipped","Tue May 06 16:28:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","8789","The page freezes when changing the currency","chromium","Tue May 06 16:28:24 GMT 2025","passed","Tue May 06 16:28:33 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","20921","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 16:29:05 GMT 2025","passed","Tue May 06 16:29:26 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","0","Получить информацию о бронировании по id","chromium","Tue May 06 16:28:13 GMT 2025","skipped","Tue May 06 16:28:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","89","Получить id всех бронирований","chromium","Tue May 06 16:28:13 GMT 2025","failed","Tue May 06 16:28:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","13518","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 16:28:45 GMT 2025","passed","Tue May 06 16:28:59 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","17693","The text under the New User section is in another language","chromium","Tue May 06 16:29:33 GMT 2025","passed","Tue May 06 16:29:50 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","12421","The manufacturer link opens an error page","chromium","Tue May 06 16:28:33 GMT 2025","passed","Tue May 06 16:28:45 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","1999","The page freezes when clicking on the numbers of results","chromium","Tue May 06 16:28:22 GMT 2025","passed","Tue May 06 16:28:24 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3001","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 16:30:00 GMT 2025","passed","Tue May 06 16:30:03 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
